Instancia,Categoria,k_opt,silhouette
Biblioteca,1,6,0.24392530201506848
Biblioteca,2,6,0.22711755928056393
Biblioteca,3,5,0.24657317379538832
Biblioteca,4,2,0.22501058320218317
Tecnologias,1,6,0.2592528622933214
Tecnologias,2,4,0.21656085858777752
Tecnologias,3,2,0.2212767748149138
Tecnologias,4,2,0.2619135601121875
